Type materiel 2;Type materiel 3;Type materiel 4;Type matériel;idtypemateriel;idsoustypemateriel;commentaire sur materiel;Millésime;codetype;Coderef;prix neuf € unité;prix moyen achat;unité;unité / an;charges fixes annuelle unité;charges fixes €/an;charges fixes €/unité de volume de travail annuel unité;charges fixes €/unité de volume de travail annuel;Réparations unité;Réparations €/unité de travail annuel;coût total unité;coût total € / unité de travail annuel;performance unité;performance;performance coût total unité;performance coût total €;données puissance 1 adéquate unité;données puissance 1 adéquate;données taux de charge moteur;donnees amortissement 1;donnees amortissement 2;donnees transport 1 unite;donnees transport 1;donnees transport 2 unite;donnees transport 2;donnees transport 3 unite;donnees transport 3;code matériel GES'TIM;masse (kg);durée de vie théorique -obsolescence constructeur- (années);Energie unité;Coût Energie / unité de travail;Energie coût total unité;Energie coût total  € / unité de travail annuel;coût total AVEC carburant € / unité de travail annuel;coût total unité sans carburant;coût total SANS carburant € / unité de travail annuel;carburant cout unité;carburant €/unité de travail;lubrifiant cout unité;lubrifiant €/unité de travail;pneus cout unité;pneus €/unité de travail;puissance ch ISO unité;puissance ch ISO;volume carter huile BV unité;volume carter huile BV;volume carter huile moteur unité;volume carter huile moteur;pneus AV taille;pneus AV prix €;pneus AV prix €;pneus AV durée vie unité;pneus AV durée vie;pneus AR taille;pneus AR prix unité;pneus AR prix;pneus AR durée vie unité;pneus AR durée vie;performance coût total AVEC CARBURANT €/h;performance coût total SANS CARBURANT €/h
Vibreur / Récepteur Cerise;Remorque Recep.;50 ch. Hydraulique;RECOLTEUSES FRUITS/Vibreur / Récepteur Cerise/Remorque Recep./50 ch. Hydraulique;RECOLTEUSES FRUITS;Vibreur / Récepteur CeriseRemorque Recep.50 ch. Hydraulique;0.0;2015.0;861;8.61201000006e+11;€;54770.0;he;250;€/an;6749.69881247;€/h;26.9987952499;€/h;4.5;;;;;;;;;;;;;;;;;;;;;;;;;36.5037952499;€/h;31.5800452499;€/h;5.005;€/h;0.08125;;;ch ISO;50.0;;;L;5.0;;;;;;;;;;;;
Corn Picker 8 rgs, 4 RM,;300 ch, Trémie 17 m3,;cueilleurs à plaques,;CORN PICKER/Corn Picker 8 rgs, 4 RM, /300 ch, Trémie 17 m3, /cueilleurs à plaques,;CORN PICKER;Corn Picker 8 rgs, 300 ch;Corn Picker 8 rgs, 4 RM, 300 ch, Trémie 17 m3, cueilleurs à plaques,;2015.0;805;8058111714;€;275000.0;ha;250;€/an;21498.3282228;€/ha;85.9933128913;€/ha;30.78;€/ha;;ha/h;3.0;€/h;;;;0.7;15.0;0.1;;;;;;;GES2;16500.0;18.0;;;;;127.027062891;€/ha;117.017062891;€/ha;10.01;€/ha;0.24375;;;ch ISO;300.0;;;L;15.0;;;;;;;;;;;381.081188674;351.051188674
Charrue décavaillonneuse VE;mécanique;1 rg complet - 2 corps;Charrue/Charrue décavaillonneuse VE /mécanique /1 rg complet - 2 corps;Charrue;Charrue décavaillonneuse VE mécanique 1 rg complet - 2 corps;;2015.0;202;2.02710003013e+11;€;4000.0;ha;15;€/an;394.791944641;€/ha;26.3194629761;€/ha;5.75;€/ha;32.0694629761;ha/h;0.5;€/h;16.034731488;ch;70.0;0.4;10.0;0.15;;;;;;;GES3;200.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Télescopique;90 ch;;CHARIOTS TELESCOPIQUES/Télescopique /90 ch /;CHARIOTS TELESCOPIQUES;Télesco 90 ch;Télescopique 90 ch 0;2015.0;108;108209;€;53700.0;h;500;€/an;6617.83505988;€/h;13.2356701198;€/h;4.01;€/h;5.148;;;;;;;0.4;7.0;0.2;;;;;;;GES1;6200.0;19.0;;;;;22.4901544948;;;;;€/h;0.096484375;;;ch ISO;90.0;;;L;9.5;;;;;;;;;;;;
Axe horizontal;fleaux  6 m;;BROYEURS/Axe horizontal /fleaux  6 m /;BROYEURS;Axe Horizontal 6 m;Axe horizontal fleaux  6 m 0;2015.0;511;511211;€;23000.0;ha;225;€/an;3036.23131429;€/ha;13.4943613968;€/ha;3.93;€/ha;17.4243613968;ha/h;2.5;€/h;43.5609034921;ch;150.0;0.8;7.0;0.2;;;;;;;GES3;2300.0;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tracteurs Spécialisés Vigne & Verger 4 RM avec Arceau rabattable;4 RM - 96 à 105 ch;100 ch - Vigne & Verger;TRACTEURS SPECIALISES 4RM/Tracteurs Spécialisés Vigne & Verger 4 RM avec Arceau rabattable/4 RM - 96 à 105 ch /100 ch - Vigne & Verger;TRACTEURS SPECIALISES 4RM;100 ch - Vigne & Verger;Tracteurs Spécialisés Vigne & Verger 4 RM avec Arceau rabattable;2015.0;122;12210;€;40300.0;heure;700;€/an;3887.28957019;€/h;5.55327081456;€/h;1.38;€/h;;;;;;;;0.35;10.0;0.11;;;;;;;GES1;2800.0;19.0;;;;;11.8670103979;€/h;7.57701039789;€/h;4.29;€/h;0.23440625;€/h;0.409333333333;ch ISO;100.0;L;40.0;L;9.0;650 16;120.0;120.0;;2500.0;14,9 R 28;;470.0;;3000.0;;
Catégorie E = Catégorie C + relevage avant pour charrue & similaire + boîte Variation continue de série + Pont avant suspendu;310 à 330 ch;320 ch;TRACTEURS CLASSIQUES/Catégorie E = Catégorie C + relevage avant pour charrue & similaire + boîte Variation continue de série + Pont avant suspendu/310 à 330 ch/320 ch;TRACTEURS CLASSIQUES;320 ch avec BV Continue;Catégorie E = Catégorie C + relevage avant pour charrue & similaire + boîte Variation continue de série + Pont avant suspendu;2015.0;11;1123272221;€;173600.0;heure;900;€/an;18874.1163975;€/h;20.9712404417;€/h;3.72;€/h;;;;;;;;0.5;8.0;0.12;;;;;;;GES1;11670.0;19.0;;;;;52.4539904417;€/h;29.5739904417;€/h;22.88;€/h;0.80275;€/h;4.08;ch ISO;320.0;L;145.0;L;28.0;600 70 30;1600.0;1600.0;;2500.0;710.70 42;;5600.0;;4000.0;;
Catégorie D = Catégorie C + relevage avant pour charrue & similaire + boîte automatisée de série;310 à 330 ch;320 ch;TRACTEURS CLASSIQUES/Catégorie D = Catégorie C + relevage avant pour charrue & similaire + boîte automatisée de série/310 à 330 ch/320 ch;TRACTEURS CLASSIQUES;320 ch BV Automatique;Catégorie D = Catégorie C + relevage avant pour charrue & similaire + boîte automatisée de série;2015.0;11;1123242221;€;162700.0;heure;900;€/an;17689.0480292;€/h;19.6544978102;€/h;3.72;€/h;;;;;;;;0.5;8.0;0.12;;;;;;;GES1;11670.0;19.0;;;;;51.1372478102;€/h;28.2572478102;€/h;22.88;€/h;0.80275;€/h;4.08;ch ISO;320.0;L;145.0;L;28.0;600 70 30;1600.0;1600.0;;2500.0;710.70 42;;5600.0;;4000.0;;
Catégorie A : Boite semi-powershift, inverseur sous charge et relevage électronique de série;96 à 105 ch;100 ch;TRACTEURS CLASSIQUES/Catégorie A : Boite semi-powershift, inverseur sous charge et relevage électronique de série /96 à 105 ch/100 ch;TRACTEURS CLASSIQUES;100 ch BVSP;Catégorie A : Boite semi-powershift, inverseur sous charge et relevage électronique de série;2015.0;11;112102202;€;48400.0;heure;500;€/an;3818.61309526;€/h;7.63722619052;€/h;2.22;€/h;;;;;;;;0.35;14.0;0.09;;;;;;;GES1;4100.0;19.0;;;;;16.2817782739;€/h;11.2767782739;€/h;5.005;€/h;0.32621875;€/h;1.09333333333;ch ISO;100.0;L;60.0;L;11.0;360 70 24;800.0;800.0;;3000.0;480 70 34;;1400.0;;5000.0;;
Enjambeurs 4 RM avec cabine et porte outil;135 à 155 ch;145 ch - Enj. Cab + Porte outil;TRACTEUR SPECIALISE ENJAMBEUR/Enjambeurs 4 RM avec cabine et porte outil /135 à 155 ch /145 ch - Enj. Cab + Porte outil;TRACTEUR SPECIALISE ENJAMBEUR;145 ch Enjambeur;Enjambeurs 4 RM avec cabine et porte outil;2015.0;164;16414;€;148600.0;heure;300;€/an;9699.09154526;€/h;32.3303051509;€/h;2.33;€/h;;;;;;;;0.35;15.0;0.07;;;;;;;GES1;3600.0;19.0;;;;;42.6397739009;€/h;35.3825239009;€/h;7.25725;€/h;0.32621875;€/h;0.396;ch ISO;145.0;L;60.0;L;11.0;335 20;220.0;220.0;;2500.0;11.2 R 32;;330.0;;3000.0;;
