Type materiel 2;Type materiel 3;Type materiel 4;Type matériel;idtypemateriel;idsoustypemateriel;commentaire sur materiel;Millésime;codetype;Coderef;prix neuf € unité;prix moyen achat;unité;unité / an;charges fixes annuelle unité;charges fixes €/an;charges fixes €/unité de volume de travail annuel unité;charges fixes €/unité de volume de travail annuel;Réparations unité;Réparations €/unité de travail annuel;coût total unité;coût total € / unité de travail annuel;performance unité;performance;performance coût total unité;performance coût total €;données puissance 1 adéquate unité;données puissance 1 adéquate;données taux de charge moteur;donnees amortissement 1;donnees amortissement 2;donnees transport 1 unite;donnees transport 1;donnees transport 2 unite;donnees transport 2;donnees transport 3 unite;donnees transport 3;code matériel GES'TIM;masse (kg);durée de vie théorique -obsolescence constructeur- (années);Energie unité;Coût Energie / unité de travail;Energie coût total unité;Energie coût total  € / unité de travail annuel;coût total AVEC carburant € / unité de travail annuel;coût total unité sans carburant;coût total SANS carburant € / unité de travail annuel;carburant cout unité;carburant €/unité de travail;lubrifiant cout unité;lubrifiant €/unité de travail;pneus cout unité;pneus €/unité de travail;puissance ch ISO unité;puissance ch ISO;volume carter huile BV unité;volume carter huile BV;volume carter huile moteur unité;volume carter huile moteur;pneus AV taille;pneus AV prix €;pneus AV prix €;pneus AV durée vie unité;pneus AV durée vie;pneus AR taille;pneus AR prix unité;pneus AR prix;pneus AR durée vie unité;pneus AR durée vie;performance coût total AVEC CARBURANT €/h;performance coût total SANS CARBURANT €/h
Motoculteur 25 cv, essence,;2 Av et 2 Ar, Pdf,;Lanceur Automatique,;MOTOCULTEUR/Motoculteur 25 cv, essence, /2 Av et 2 Ar, Pdf, /Lanceur Automatique,;MOTOCULTEUR;Motoculteur 25 cv, essence, 2 Av et 2 Ar, Pdf, Lanceur Automatique,;0.0;2015.0;1M1;1M11251;€;2700.0;he;250;€/an;332.740310273;€/h;1.33096124109;€/h;5.0;;;;;;;;;;;;;;;;;;;;;;;;;9.85096124109;€/h;6.41221124109;€/h;3.52;€/h;0.08125;;;ch ISO;25.0;;;L;5.0;;;;;;;;;;;;
Chambre fixe;balle  120 x 120;;PRESSES/Chambre fixe  /balle  120 x 120 /;PRESSES;Chambre Fixe 120 x 120;Chambre fixe  balle  120 x 120;2015.0;704;704310;€;17100.0;bal;1200;€/an;1687.73556334;€/bal;1.40644630278;€/ha;0.39;€/ha;1.79644630278;bal/h;25.0;€/h;44.9111575696;ch;90.0;0.8;10.0;0.15;;;;;;;GES3;2800.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Passerelle diesel 30 ch;2 RM hauteur de 1,1 à 2,1 m;de 4 à 6 postes;PASSERELLE LEGUMES/Passerelle diesel 30 ch /2 RM hauteur de 1,1 à 2,1 m /de 4 à 6 postes;PASSERELLE LEGUMES;Passerelle diesel 30 ch 2 RM hauteur de 1,1 à 2,1 m de 4 à 6 postes;;2015.0;980;9.80330302106e+11;€;19410.0;he;100;€/an;2392.03311941;€/h;23.9203311941;€/h;3.1;;;;;;;;;;;;;;;;;;;;;;;;;30.2264561941;€/h;27.2234561941;€/h;3.003;€/h;0.203125;;;ch ISO;30.0;;;L;5.0;;;;;;;;;;;;
Tête de récolte porteur VL;avec trieur et egreneur;;Vendange/Tête de récolte porteur VL /avec trieur et egreneur /;Vendange;Tête de récolte porteur VL avec trieur et egreneur 0;0.0;2015.0;840;840500006;€;70000.0;ha;140;€/an;7471.04694818;€/ha;53.3646210584;€/ha;34.29;€/ha;87.6546210584;ha/h;0.7;€/h;61.3582347409;;80.0;0.7;10.0;0.15;;;;;;;GES2;1500.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Pivot Fixe 300 m, 5"", rotators, cercle complet,";5 tours de 55 m + porte à faux de 25 m soit 325 m irrigués,;monté , hors câble d'alim. Élect;"Pivot / Rampe/Pivot Fixe 300 m, 5"", rotators, cercle complet, /5 tours de 55 m + porte à faux de 25 m soit 325 m irrigués, /monté , hors câble d'alim. Élect";Pivot / Rampe;"Pivot Fixe 300 m, 5"", rotators, cercle complet, 5 tours de 55 m + porte à faux de 25 m soit 325 m irrigués,";5 tours de 55 m + porte à faux de 25 m soit 325 m irrigués, monté , hors câble d'alim. Élect;2015.0;IRRI0542;IRRI054200030000510000002;€;51500.0;ha;165;€/an;3218.75;€/ha;19.5075757576;€/ha;19.5075757576;;;;;;;;;;;;;;;;;;GES4;0.0;21.0;;;€/ha;24.6590909091;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corn Picker 8 rgs, 4 RM,;300 ch, Trémie 17 m3,;cueilleurs à plaques,;CORN PICKER/Corn Picker 8 rgs, 4 RM, /300 ch, Trémie 17 m3, /cueilleurs à plaques,;CORN PICKER;Corn Picker 8 rgs, 300 ch;Corn Picker 8 rgs, 4 RM, 300 ch, Trémie 17 m3, cueilleurs à plaques,;2015.0;805;8058111714;€;275000.0;ha;300;€/an;21498.3282228;€/ha;71.6610940761;€/ha;30.78;€/ha;;ha/h;3.0;€/h;;;;0.7;15.0;0.1;;;;;;;GES2;16500.0;18.0;;;;;140.181719076;€/ha;102.644219076;€/ha;10.01;€/ha;0.203125;;;ch ISO;300.0;;;L;15.0;;;;;;;;;;;112.145375261;82.1153752609
Ensileuse;400 ch;2 RM, 6 rangs rotatifs;ENSILEUSES/Ensileuse /400 ch /2 RM, 6 rangs rotatifs;ENSILEUSES;Ensileuse 400 ch 2 RM, 6 rangs rotatifs;;2015.0;707;7071043;€;236100.0;ha;300;€/an;29568.4915761;€/ha;98.5616385871;€/ha;31.81;€/ha;;ha/h;2.0;€/h;;;;0.7;7.0;0.15;;;;;;;GES2;13000.0;18.0;;;;;150.338013587;€/ha;130.818513587;€/ha;19.5195;€/ha;0.446875;;;ch ISO;390.0;;;L;33.0;;;;;;;;;;;300.676027174;261.637027174
Automotrice 4 RM,;4 rangs,;sans équipement;CASTREUSE MAIS/Automotrice 4 RM, /4 rangs, /sans équipement;CASTREUSE MAIS;Automotrice 4 RM, 4 rangs, sans équipement;;2015.0;552;5524;€;60000.0;h;100;€/an;8088.0;€/h;80.88;€/h;5.13;€/h;;ha/h;0.0;€/h;;;;0.7;15.0;0.1;;;;;;;GES2;4500.0;13.0;;;;;95.4049375;€/h;86.3959375;€/h;9.009;€/h;0.3859375;;;ch ISO;87.4638488209;;;L;0.0;;;;;;;;;;;9.5;90.0
Herse Plate Légère;5 compartiments;4 m pliage manuel;HERSES/Herse Plate Légère /5 compartiments /4 m pliage manuel;HERSES;Herse Plate Légère;5 compartiments 4 m pliage manuel;2015.0;205;205207;€;1500.0;ha;100;€/an;129.622792481;€/ha;1.29622792481;€/ha;0.636;€/ha;1.93222792481;ha/h;2.5;€/h;4.83056981203;ch;80.0;0.8;10.0;0.15;;;;;;;GES3;550.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Télescopique;90 ch;;CHARIOTS TELESCOPIQUES/Télescopique /90 ch /;CHARIOTS TELESCOPIQUES;Télesco 90 ch;Télescopique 90 ch 0;2015.0;108;108209;€;53700.0;h;900;€/an;6617.83505988;€/h;7.35315006654;€/h;4.01;€/h;5.148;;;;;;;0.4;7.0;0.2;;;;;;;GES1;6200.0;19.0;;;;;16.6076344415;;;;;€/h;0.096484375;;;ch ISO;90.0;;;L;9.5;;;;;;;;;;;;
Cultivateur VL;5 à 9 dents rigides;;Cultivateur Viti/Cultivateur VL /5 à 9 dents rigides /;Cultivateur Viti;Cultivateur VL 5 à 9 dents rigides 0;0.0;2015.0;203;2032109;€;4500.0;ha;50;€/an;388.868377444;€/ha;7.77736754887;€/ha;1.74;€/ha;9.51736754887;ha/h;0.7;€/h;6.66215728421;ch;80.0;0.4;10.0;0.1;;;;;;;GES3;500.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cultivateur VL;5 à 9 dents rigides;;Cultivateur Viti/Cultivateur VL /5 à 9 dents rigides /;Cultivateur Viti;Cultivateur VL 5 à 9 dents rigides 0;0.0;2015.0;203;2032109;€;4500.0;ha;60;€/an;388.868377444;€/ha;6.48113962406;€/ha;1.74;€/ha;8.22113962406;ha/h;0.7;€/h;5.75479773684;ch;80.0;0.4;10.0;0.1;;;;;;;GES3;500.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Axe horizontal;fleaux  6 m;;BROYEURS/Axe horizontal /fleaux  6 m /;BROYEURS;Axe Horizontal 6 m;Axe horizontal fleaux  6 m 0;2015.0;511;511211;€;23000.0;ha;275;€/an;3036.23131429;€/ha;11.0408411429;€/ha;3.93;€/ha;14.9708411429;ha/h;2.5;€/h;37.4271028571;ch;150.0;0.8;7.0;0.2;;;;;;;GES3;2300.0;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catégorie A : Boite semi-powershift, inverseur sous charge et relevage électronique de série;96 à 105 ch;100 ch;TRACTEURS CLASSIQUES/Catégorie A : Boite semi-powershift, inverseur sous charge et relevage électronique de série /96 à 105 ch/100 ch;TRACTEURS CLASSIQUES;100 ch BVSP;Catégorie A : Boite semi-powershift, inverseur sous charge et relevage électronique de série;2015.0;11;112102202;€;48400.0;heure;900;€/an;5262.13844262;€/h;5.8468204918;€/h;2.22;€/h;;;;;;;;0.35;8.0;0.12;;;;;;;GES1;4100.0;19.0;;;;;14.4913725751;€/h;9.48637257513;€/h;5.005;€/h;0.32621875;€/h;1.09333333333;ch ISO;100.0;L;60.0;L;11.0;360 70 24;800.0;800.0;;3000.0;480 70 34;;1400.0;;5000.0;;
Tracteurs Spécialisés Vigne & Verger 4 RM avec Arceau rabattable;4 RM - 96 à 105 ch;100 ch - Vigne & Verger;TRACTEURS SPECIALISES 4RM/Tracteurs Spécialisés Vigne & Verger 4 RM avec Arceau rabattable/4 RM - 96 à 105 ch /100 ch - Vigne & Verger;TRACTEURS SPECIALISES 4RM;100 ch - Vigne & Verger;Tracteurs Spécialisés Vigne & Verger 4 RM avec Arceau rabattable;2015.0;122;12210;€;40300.0;heure;500;€/an;3179.54768056;€/h;6.35909536111;€/h;1.38;€/h;;;;;;;;0.35;14.0;0.09;;;;;;;GES1;2800.0;19.0;;;;;12.6728349444;€/h;8.38283494445;€/h;4.29;€/h;0.23440625;€/h;0.409333333333;ch ISO;100.0;L;40.0;L;9.0;650 16;120.0;120.0;;2500.0;14,9 R 28;;470.0;;3000.0;;
Tracteurs Spécialisés Vigne & Verger 4 RM avec Arceau rabattable;4 RM - 96 à 105 ch;100 ch - Vigne & Verger;TRACTEURS SPECIALISES 4RM/Tracteurs Spécialisés Vigne & Verger 4 RM avec Arceau rabattable/4 RM - 96 à 105 ch /100 ch - Vigne & Verger;TRACTEURS SPECIALISES 4RM;100 ch - Vigne & Verger;Tracteurs Spécialisés Vigne & Verger 4 RM avec Arceau rabattable;2015.0;122;12210;€;40300.0;heure;300;€/an;2630.37274074;€/h;8.7679091358;€/h;1.38;€/h;;;;;;;;0.35;15.0;0.07;;;;;;;GES1;2800.0;19.0;;;;;15.0816487191;€/h;10.7916487191;€/h;4.29;€/h;0.23440625;€/h;0.409333333333;ch ISO;100.0;L;40.0;L;9.0;650 16;120.0;120.0;;2500.0;14,9 R 28;;470.0;;3000.0;;
Tracteurs Spécialisés Vigne & Verger 2 RM avec Arceau rabattable;2 RM - 76 à 85 ch;80 ch - Vigne & Verger;TRACTEURS SPECIALISES 2RM/Tracteurs Spécialisés Vigne & Verger 2 RM avec Arceau rabattable/2 RM - 76 à 85 ch /80 ch - Vigne & Verger;TRACTEURS SPECIALISES 2RM;80 ch - Vigne & Verger;Tracteurs Spécialisés Vigne & Verger 2 RM avec Arceau rabattable;2015.0;121;12108;€;30800.0;heure;300;€/an;2010.30968771;€/h;6.70103229237;€/h;1.06;€/h;;;;;;;;0.35;15.0;0.07;;;;;;;GES1;2400.0;19.0;;;;;11.8367718757;€/h;8.40477187571;€/h;3.432;€/h;0.23440625;€/h;0.409333333333;ch ISO;80.0;L;40.0;L;9.0;650 16;120.0;120.0;;2500.0;14,9 R 28;;470.0;;3000.0;;
Catégorie B = Catégorie A + suspension du pont avant de série;96 à 105 ch;100 ch;TRACTEURS CLASSIQUES/Catégorie B = Catégorie A + suspension du pont avant de série /96 à 105 ch/100 ch;TRACTEURS CLASSIQUES;100 ch BVSP + pont AV suspendu;Catégorie B = Catégorie A + suspension du pont avant de série;2015.0;11;1121022021;€;54200.0;heure;900;€/an;5892.72528078;€/h;6.54747253421;€/h;2.22;€/h;;;;;;;;0.35;8.0;0.12;;;;;;;GES1;4200.0;19.0;;;;;15.2720246175;€/h;10.2670246175;€/h;5.005;€/h;0.32621875;€/h;1.17333333333;ch ISO;100.0;L;60.0;L;11.0;360 70 24;800.0;800.0;;3000.0;480 70 34;;1600.0;;5000.0;;
Tracteurs Spécialisés Vigne 4 RM avec cabine confort;96 à 105 ch;100 ch - Vigne;TRACTEURS SPECIALISES 4RM VIGNE/Tracteurs Spécialisés Vigne 4 RM avec cabine confort/96 à 105 ch /100 ch - Vigne;TRACTEURS SPECIALISES 4RM VIGNE;100 ch Vigne;Tracteurs Spécialisés Vigne 4 RM avec cabine confort;2015.0;132;13210;€;44100.0;heure;300;€/an;2878.39796195;€/h;9.59465987317;€/h;1.44;€/h;;;;;;;;0.35;15.0;0.07;;;;;;;GES1;3000.0;19.0;;;;;16.6833994565;€/h;11.6783994565;€/h;5.005;€/h;0.23440625;€/h;0.409333333333;ch ISO;100.0;L;40.0;L;9.0;650 16;120.0;120.0;;2500.0;14,9 R 28;;470.0;;3000.0;;
Tracteur Standards 2 RM Boite mécanique;2 RM - 96 à 105 ch;100 ch;TRACTEURS CLASSIQUES/Tracteur Standards 2 RM Boite mécanique /2 RM - 96 à 105 ch /100 ch;TRACTEURS CLASSIQUES;100 ch;Tracteur Standards 2 RM Boite mécanique;2015.0;11;111101;€;42550.0;heure;500;€/an;3357.06585131;€/h;6.71413170261;€/h;1.21;€/h;;;;;;;;0.35;14.0;0.09;;;;;;;GES1;3310.0;19.0;;;;;12.8748504526;€/h;8.58485045261;€/h;4.29;€/h;0.32621875;€/h;0.3345;ch ISO;100.0;L;60.0;L;11.0;750 20;85.0;85.0;;4000.0;16,9 38;;730.0;;5000.0;;
Tracteur Standards 2 RM Boite mécanique;2 RM - 96 à 105 ch;100 ch;TRACTEURS CLASSIQUES/Tracteur Standards 2 RM Boite mécanique /2 RM - 96 à 105 ch /100 ch;TRACTEURS CLASSIQUES;100 ch;Tracteur Standards 2 RM Boite mécanique;2015.0;11;111101;€;42550.0;heure;900;€/an;4626.11551102;€/h;5.14012834558;€/h;1.21;€/h;;;;;;;;0.35;8.0;0.12;;;;;;;GES1;3310.0;19.0;;;;;11.3008470956;€/h;7.01084709558;€/h;4.29;€/h;0.32621875;€/h;0.3345;ch ISO;100.0;L;60.0;L;11.0;750 20;85.0;85.0;;4000.0;16,9 38;;730.0;;5000.0;;
Catégorie E = Catégorie C + relevage avant pour charrue & similaire + boîte Variation continue de série + Pont avant suspendu;310 à 330 ch;320 ch;TRACTEURS CLASSIQUES/Catégorie E = Catégorie C + relevage avant pour charrue & similaire + boîte Variation continue de série + Pont avant suspendu/310 à 330 ch/320 ch;TRACTEURS CLASSIQUES;320 ch avec BV Continue;Catégorie E = Catégorie C + relevage avant pour charrue & similaire + boîte Variation continue de série + Pont avant suspendu;2015.0;11;1123272221;€;173600.0;heure;700;€/an;16745.2473793;€/h;23.9217819704;€/h;3.72;€/h;;;;;;;;0.5;10.0;0.11;;;;;;;GES1;11670.0;19.0;;;;;55.4045319704;€/h;32.5245319704;€/h;22.88;€/h;0.80275;€/h;4.08;ch ISO;320.0;L;145.0;L;28.0;600 70 30;1600.0;1600.0;;2500.0;710.70 42;;5600.0;;4000.0;;
H de G 150 ch, 4RM, 20 hl;28 m, cab classe 4, guidage,;Circulation continue, etc.;PULVERISATEURS AUTOMOTEURS/H de G 150 ch, 4RM, 20 hl /28 m, cab classe 4, guidage, /Circulation continue, etc.;PULVERISATEURS AUTOMOTEURS;Pulvé Rapide 170 ch toutes options;H de G 150 ch, 4RM, 20 hl 28 m, cab classe 4, guidage, Circulation continue, etc.;2015.0;60;60512055443;€;162600.0;ha;3000;€/an;20038.3609076;€/ha;6.67945363586;€/ha;1.33;€/ha;;ha/h;20.0;€/h;;;;;7.0;0.2;m;28.0;litres;2500.0;min;15.0;GES2;5500.0;18.0;;;;;8.55585988586;€/ha;8.01960988586;€/ha;0.53625;€/ha;0.01015625;;;ch ISO;150.0;;;L;20.0;;;;;;;;;;;171.117197717;160.392197717
H de G 150 ch, 4RM, 20 hl;28 m, cab classe 4, guidage,;Circulation continue, etc.;PULVERISATEURS AUTOMOTEURS/H de G 150 ch, 4RM, 20 hl /28 m, cab classe 4, guidage, /Circulation continue, etc.;PULVERISATEURS AUTOMOTEURS;Pulvé Rapide 170 ch toutes options;H de G 150 ch, 4RM, 20 hl 28 m, cab classe 4, guidage, Circulation continue, etc.;2015.0;60;60512055443;€;162600.0;ha;2000;€/an;20038.3609076;€/ha;10.0191804538;€/ha;1.33;€/ha;;ha/h;20.0;€/h;;;;;7.0;0.2;m;28.0;litres;2500.0;min;15.0;GES2;5500.0;18.0;;;;;11.8955867038;€/ha;11.3593367038;€/ha;0.53625;€/ha;0.01015625;;;ch ISO;150.0;;;L;20.0;;;;;;;;;;;237.911734076;227.186734076
Catégorie C = Catégorie B + relevage porte masses de série;180 à 200 ch;190 ch;TRACTEURS CLASSIQUES/Catégorie C = Catégorie B + relevage porte masses de série /180 à 200 ch/190 ch;TRACTEURS CLASSIQUES;190 ch BVSP + Rel AV;Catégorie C = Catégorie B + relevage porte masses de série;2015.0;11;1121922121;€;91900.0;heure;900;€/an;9991.53972886;€/h;11.1017108098;€/h;3.27;€/h;;;;;;;;0.5;8.0;0.12;;;;;;;GES1;7490.0;19.0;;;;;31.3278045598;€/h;17.7428045598;€/h;13.585;€/h;0.59109375;€/h;2.78;ch ISO;190.0;L;100.0;L;23.0;540 65 28;1600.0;1600.0;;2500.0;650.65 38;;3000.0;;4000.0;;
Chenillettes;30 ch - porte outil;sans équipement;TRACTEUR SPECIALISE CHENILLETTES/Chenillettes/30 ch - porte outil /sans équipement;TRACTEUR SPECIALISE CHENILLETTES;Chenilletes 30 ch;30 ch - porte outil sans équipement;2015.0;159;15903;€;28000.0;heure;100;€/an;2700.8463515;€/h;27.008463515;€/h;1.96;€/h;;;;;;;;0.35;10.0;0.11;;;;;;;GES1;3400.0;19.0;;;;;36.162869765;€/h;30.702869765;€/h;5.46;€/h;0.23440625;€/h;1.5;ch ISO;70.0;L;40.0;L;9.0;;3000.0;3000.0;;4000.0;;;0.0;;0.0;;
Chenillettes;30 ch - porte outil;sans équipement;TRACTEUR SPECIALISE CHENILLETTES/Chenillettes/30 ch - porte outil /sans équipement;TRACTEUR SPECIALISE CHENILLETTES;Chenilletes 30 ch;30 ch - porte outil sans équipement;2015.0;159;15903;€;28000.0;heure;80;€/an;2209.11501379;€/h;27.6139376723;€/h;1.96;€/h;;;;;;;;0.35;14.0;0.09;;;;;;;GES1;3400.0;19.0;;;;;36.7683439223;€/h;31.3083439223;€/h;5.46;€/h;0.23440625;€/h;1.5;ch ISO;70.0;L;40.0;L;9.0;;3000.0;3000.0;;4000.0;;;0.0;;0.0;;
Arracheuse Charg. 350/400 ch;6 m3, 4 RM,;6 rangs;RECOLTEUSE BETTERAVES AUTOMOTRICE/Arracheuse Charg. 350/400 ch/6 m3, 4 RM, /6 rangs;RECOLTEUSE BETTERAVES AUTOMOTRICE;Arracheuse Charg. 350/400 ch6 m3, 4 RM,;Arracheuse Charg. 350/400 ch6 m3, 4 RM, 6 rangs;2015.0;82;82124006;€;210000.0;ha;250;€/an;28772.112;€/ha;115.088448;€/ha;30.8;€/ha;;ha/h;0.9;€/h;;;;0.55;7.0;0.2;;;;;;;GES2;19000.0;15.0;;;;;179.163031333;€/ha;146.392198;€/ha;32.7708333333;€/ha;0.50375;;;ch ISO;375.0;;;L;31.0;;;;;;;;;;;161.2467282;131.7529782
700 cc 50 - 55 cv;4 x 4 débrayable;;QUAD/700 cc 50 - 55 cv /4 x 4 débrayable/;QUAD;700 cc 50 - 55 cv;4 x 4 débrayable;2015.0;17;17205017;€;12000.0;heure;100;€/an;1120.98233985;€/h;11.2098233985;€/h;3.35;€/h;;;;;;;;0.46;10.0;0.1;;;;;;;GES1;350.0;15.0;;;;;23.1804067318;;;€/h;7.68;€/h;0.10725;€/h;0.833333333333;ch ISO;45.0;;;L;3.0;8-12;125.0;125.0;;600.0;10-12;;125.0;;600.0;;
Ensileuse;400 ch;2 RM, 6 rangs rotatifs;ENSILEUSES/Ensileuse /400 ch /2 RM, 6 rangs rotatifs;ENSILEUSES;Ensileuse 400 ch 2 RM, 6 rangs rotatifs;;2015.0;707;7071043;€;236100.0;ha;400;€/an;29568.4915761;€/ha;73.9212289403;€/ha;31.81;€/ha;;ha/h;2.0;€/h;;;;0.7;7.0;0.15;;;;;;;GES2;13000.0;18.0;;;;;125.58588519;€/ha;106.06638519;€/ha;19.5195;€/ha;0.33515625;;;ch ISO;390.0;;;L;33.0;;;;;;;;;;;251.171770381;212.132770381
Automotrice 4 RM,;4 rangs,;sans équipement;CASTREUSE MAIS/Automotrice 4 RM, /4 rangs, /sans équipement;CASTREUSE MAIS;Automotrice 4 RM, 4 rangs, sans équipement;;2015.0;552;5524;€;60000.0;h;125;€/an;8088.0;€/h;64.704;€/h;5.13;€/h;;ha/h;0.0;€/h;;;;0.7;15.0;0.1;;;;;;;GES2;4500.0;13.0;;;;;79.15175;€/h;70.14275;€/h;9.009;€/h;0.30875;;;ch ISO;87.4638488209;;;L;0.0;;;;;;;;;;;9.5;90.0
Hérissons Horizontaux;6 t / 8 m3;1 essieu;EPANDEURS & ACCESSOIRES/Hérissons Horizontaux /6 t / 8 m3 /1 essieu;EPANDEURS & ACCESSOIRES;6 t Horizontaux;Hérissons Horizontaux 6 t / 8 m3 1 essieu;2015.0;40;40110608;€;13200.0;Voy;300;€/an;1560.73040578;€/voy;5.20243468594;€/voy;0.728;€/voy;5.93043468594;Voy / h;2.0;€/h;23.7217387437;ch;70.0;0.4;7.0;0.15;m;4.0;m3;8.0;mn;;GES5;2500.0;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hérissons Horizontaux;6 t / 8 m3;1 essieu;EPANDEURS & ACCESSOIRES/Hérissons Horizontaux /6 t / 8 m3 /1 essieu;EPANDEURS & ACCESSOIRES;6 t Horizontaux;Hérissons Horizontaux 6 t / 8 m3 1 essieu;2015.0;40;40110608;€;13200.0;Voy;400;€/an;1560.73040578;€/voy;3.90182601445;€/voy;0.728;€/voy;4.62982601445;Voy / h;2.0;€/h;18.5193040578;ch;70.0;0.4;7.0;0.15;m;4.0;m3;8.0;mn;;GES5;2500.0;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Automotrice 180 ch VE;;;MAV/Automotrice 180 ch VE //;MAV;Automotrice 180 ch VE 00;0.0;2015.0;840;840318003;€;187400.0;ha;100;€/an;17701.5787954;€/ha;177.015787954;€/ha;43.43;;;ha/h;0.5;€/h;;;;0.7;10.0;0.11;;;;;;;GES2;8500.0;18.0;;;;;256.481787954;€/ha;221.339537954;€/ha;36.036;€/ha;0.89375;;;ch ISO;180.0;;;L;22.0;;;;;;;;;;;128.240893977;110.669768977
Chambre fixe;balle  120 x 120;;PRESSES/Chambre fixe  /balle  120 x 120 /;PRESSES;Chambre Fixe 120 x 120;Chambre fixe  balle  120 x 120;2015.0;704;704310;€;17100.0;bal;800;€/an;1687.73556334;€/bal;2.10966945418;€/bal;0.39;€/bal;2.49966945418;bal/h;25.0;€/h;62.4917363544;ch;90.0;0.8;10.0;0.15;;;;;;;GES3;2800.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rotative 1,65 m;4 disques;;FAUCHEUSES/Rotative 1,65 m /4 disques /;FAUCHEUSES;Rotative 1,65 m;Rotative 1,65 m 4 disques;2015.0;701;701205;€;4050.0;ha;50;€/an;478.86046541;€/ha;9.5772093082;€/ha;2.77;€/ha;12.3472093082;ha/h;0.8;€/h;9.87776744656;ch;70.0;0.4;7.0;0.15;;;;;;;GES3;400.0;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Benne 6 tonnes;1 essieu;;BENNES/Benne 6 tonnes /1 essieu /;BENNES;Benne 6 tonnes;Benne 6 tonnes 1 essieu;2015.0;9011;9011060001;€;6220.0;h;50;€/an;362.438125246;€/h;7.24876250492;€/h;0.667;€/h;7.91576250492;t/benne;6.0;€/t;1.31929375082;ch;70.0;0.4;15.0;0.1;;;;;;;GES5;1850.0;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prétailleuse 1rgs  pour vigne à gobelet 0;;;Prétailleuse/Prétailleuse 1rgs  pour vigne à gobelet 0//;Prétailleuse;Prétailleuse 1rgs  pour vigne à gobelet;0.0;2015.0;540;5401001;€;4750.0;ha;45;€/an;507.0;€/ha;11.27;€/ha;25.0;€/ha;36.27;ha/h;0.0;€/h;0.0;ch;70.0;0.4;10.0;0.15;;;;;;;GES3;180.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Pivot Fixe 300 m, 5"", rotators, cercle complet,";5 tours de 55 m + porte à faux de 25 m soit 325 m irrigués,;monté , hors câble d'alim. Élect;"Pivot / Rampe/Pivot Fixe 300 m, 5"", rotators, cercle complet, /5 tours de 55 m + porte à faux de 25 m soit 325 m irrigués, /monté , hors câble d'alim. Élect";Pivot / Rampe;"Pivot Fixe 300 m, 5"", rotators, cercle complet, 5 tours de 55 m + porte à faux de 25 m soit 325 m irrigués,";5 tours de 55 m + porte à faux de 25 m soit 325 m irrigués, monté , hors câble d'alim. Élect;2015.0;IRRI0542;IRRI054200030000510000002;€;51500.0;m3;52800;€/an;3218.75;€/m3;0.0609611742424;€/m3;0.0609611742424;;;;;;;;;;;;;;;;;;GES5;0.0;22.0;;;€/m3;0.0770596590909;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catégorie D = Catégorie C + relevage avant pour charrue & similaire + boîte automatisée de série;310 à 330 ch;320 ch;TRACTEURS CLASSIQUES/Catégorie D = Catégorie C + relevage avant pour charrue & similaire + boîte automatisée de série/310 à 330 ch/320 ch;TRACTEURS CLASSIQUES;320 ch BV Automatique;Catégorie D = Catégorie C + relevage avant pour charrue & similaire + boîte automatisée de série;2015.0;11;1123242221;€;162700.0;heure;700;€/an;15693.8464782;€/h;22.4197806831;€/h;3.72;€/h;;;;;;;;0.5;10.0;0.11;;;;;;;GES1;11670.0;19.0;;;;;53.9025306831;€/h;31.0225306831;€/h;22.88;€/h;0.80275;€/h;4.08;ch ISO;320.0;L;145.0;L;28.0;600 70 30;1600.0;1600.0;;2500.0;710.70 42;;5600.0;;4000.0;;
Catégorie A : Boite semi-powershift, inverseur sous charge et relevage électronique de série;96 à 105 ch;100 ch;TRACTEURS CLASSIQUES/Catégorie A : Boite semi-powershift, inverseur sous charge et relevage électronique de série /96 à 105 ch/100 ch;TRACTEURS CLASSIQUES;100 ch BVSP;Catégorie A : Boite semi-powershift, inverseur sous charge et relevage électronique de série;2015.0;11;112102202;€;48400.0;heure;700;€/an;4668.60583616;€/h;6.6694369088;€/h;2.22;€/h;;;;;;;;0.35;10.0;0.11;;;;;;;GES1;4100.0;19.0;;;;;15.3139889921;€/h;10.3089889921;€/h;5.005;€/h;0.32621875;€/h;1.09333333333;ch ISO;100.0;L;60.0;L;11.0;360 70 24;800.0;800.0;;3000.0;480 70 34;;1400.0;;5000.0;;
